Name,Effector type,Action,Effector construct,dCas protein,Architecture,Organism,References,DOI link,Graph. Abstract link
,catalytic,clips off H3NT ,MMP-9 ,SpdCas9,Direct fusion (C),Human,"Shin Y, Kim S, Liang G, An W. MMP-9-dependent proteolysis of the histone H3 N-terminal tail: a critical epigenetic step in driving oncogenic transcription and colon tumorigenesis. (2024)",https://doi.org/10.1002/1878-0261.13652,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdQY7-x1Vukw09B_SFN0nTiQ8zXdZ3UUM_AQ&s
,noncatalytic,repression,SALL1-SDS3,SpdCas9,Direct fusion (C),Human,"Mills C, Riching A, Keller A, et al. A Novel CRISPR Interference Effector Enabling Functional Gene Characterization with Synthetic Guide RNAs. (2022)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9805873/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1923/9805873/b593f9538f8b/crispr.2022.0056_figure1.jpg
,noncatalytic,repression,SALL1-SDS3,ErdCas12a (dMAD7),Direct fusion (C),Human,"Mills C, Riching A, Keller A, et al. A Novel CRISPR Interference Effector Enabling Functional Gene Characterization with Synthetic Guide RNAs. (2022)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9805873/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1923/9805873/b593f9538f8b/crispr.2022.0056_figure1.jpg
,noncatalytic,repression,SALL1-SDS3,dCas12j,Direct fusion (C),Human,"Mills C, Riching A, Keller A, et al. A Novel CRISPR Interference Effector Enabling Functional Gene Characterization with Synthetic Guide RNAs. (2022)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9805873/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1923/9805873/b593f9538f8b/crispr.2022.0056_figure1.jpg
CRISPR-DREAM,noncatalytic,activation,MCP-MRTFa-STAT1-eNRF2,SpdCas9,gRNA-aptamer binding (MS2-based),Human,"Mahata, B., Cabrera, A., Brenner, D.A. et al. Compact engineered human mechanosensitive transactivation modules enable potent and versatile synthetic transcriptional control. (2023)",https://doi.org/10.1038/s41592-023-02036-1,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41592-023-02036-1/MediaObjects/41592_2023_2036_Fig1_HTML.png
CRISPRcharm,catalytic,Repression (DNA cytosine methylation) ,H3tail-DNMT3l-dCas9,SpdCas9,Direct fusion (C),"Human, Animal","Edwin N. Neumann et al. ,Brainwide silencing of prion protein by AAV-mediated delivery of an engineered compact epigenetic editor. (2024)",https://doi.org/10.1126/science.ado7082,https://www.science.org/cms/10.1126/science.ado7082/asset/eaad9159-3414-4c11-bdfe-996cf3a254c8/assets/images/large/science.ado7082-fa.jpg
Chem,noncatalytic,repression (BRD4 inhibition),JQ1-PFB-Phe(F)-Cys(C)-Pro(P)-Phe(F),SpdCas9,Direct fusion (C),Human,"Mukaddes Altinbay, Jianhui Wang, et al. Chem-CRISPR/dCas9FCPF: a platform for chemically induced epigenome editing. (2024)",https://doi.org/10.1093/nar/gkae798,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/52/19/10.1093_nar_gkae798/1/m_gkae798figgra1.jpeg?Expires=1747911137&Signature=HpChlLFDYzKC6GXOpOg4sSZCFb8Wu8iw9CdVzU1U2Jjuf6QUHbQW-rktLGEjdhVyg9y8lx7yWlxb0K-cifSvfLpn0ip9hCFA2Hr87jHFjgief3uNAkFDOa9cvfSMUS0D6aqiSs~xi3UzVw5NgqdztI5YhM0n4vfF-ewaFXPONJ7p8V8eWr30JQCJalDa5wt7wmrFa7L5IG3liGlHt7R~yRlpU6FWPnTLn~riVk~18Ijd2LX6x1BqpasB3JOonAr3jxmah10Egv0IcPFI2qnfV0zk~xBlcVHh787lUZVWxLFN2IWnmSDefaoBbCkqCYxA~cIOd2H9rkfzX6ZJ9TM5lA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,"Histone acetylation
H3K56 and H3K122",TEN,SpdCas9,Direct fusion (C),Plant,"Sara Selma, et al. Crisp and quiet: A novel programmable transcriptional repressor in plants. (2024)",https://doi.org/10.1093/plphys/kiae211,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/plphys/195/3/10.1093_plphys_kiae211/1/m_kiae211f1.jpeg?Expires=1747910843&Signature=2G8DP5~UtSnKKd-ITYWUSEdvfUUwsmjYDn2lbLj466zRwpW7Y~lqTUDMql-21URSwY~QArPKDimRY7kjNnbnyLPV6Apm1IGusiMAO8EPFb54~rb3rGja86xJjhL~Z9PMdbwKXDfw0CP7Z-EqyJ3jl7nUAIfM0sY~OcVJ0zWmMQ5EjN~hvJG-V5eb1UKZ3k7TOzOe30ZVUVXPfE4sYsuz6zrt5dLPqF~7k34QVgJPNrQGU7PsbNbUiPoNTZ4XlyqUp1NqksYqNfXBZ~pVg0zm0EKntImNgGmxGvIp5FVAkPB1cGIISew6Y4WttVMpDY25wahC9a9WBKMir4~f9R772g__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,activation,EDLL,SpdCas9,Direct fusion (C),Plant,"Marta Vazquez-Vilar, et al. A modular toolbox for gRNA–Cas9 genome engineering in plants based on the GoldenBraid standard. (2016)",https://doi.org/10.1186/s13007-016-0101-2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13007-016-0101-2/MediaObjects/13007_2016_101_Fig1_HTML.gif
,noncatalytic,repression,SRDX,SpdCas9,Direct fusion (C),Plant,"Marta Vazquez-Vilar, et al. A modular toolbox for gRNA–Cas9 genome engineering in plants based on the GoldenBraid standard. (2016)",https://doi.org/10.1186/s13007-016-0101-2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13007-016-0101-2/MediaObjects/13007_2016_101_Fig1_HTML.gif
,noncatalytic,repression,3X(SRDX),SpdCas9,Direct fusion (C),Plant,"Levi G. Lowder, et al. A CRISPR/Cas9 Toolbox for Multiplexed Plant Genome Editing and Transcriptional Regulation (2015)",https://doi.org/10.1104/pp.15.00636,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/plphys/169/2/10.1104_pp.15.00636/3/m_plphys_v169_2_971_f1.jpeg?Expires=1748541152&Signature=ICG3sfEYMu0YRW-0jU2TRxBKcMD28dg~SSeGn~0juaIPCLiBgYn1yhF9xfUqbF5agcoRqQkp9RY2jhf-ijkUuebIM45SR-ivaQdG9sBjlJC8Lo0mOKx3U9zddNFtoReu0HQgzotTBf5TpQTgjI7HlyD3X3ImZgAVNE7H5GJxf71888175fD8s9ngVa0QvTI85uZzAmjKovKb0HWJey2H4ZrKat5T~teo~-imp3j~lcDDgCJBzWRtqS-NLWTBkvA03j6rvkOcTz6TnHE1aue0vJfoME2DCHShagyJiAThQ4AXN2REPyKlg2K5uOVLC0VP~kGyij5DfgEhMFpdpMZzIw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,noncatalytic,repression,BRD,SpdCas9,Direct fusion (C),Plant,"Marta Vazquez-Vilar, et al. A modular toolbox for gRNA–Cas9 genome engineering in plants based on the GoldenBraid standard. (2016)",https://doi.org/10.1186/s13007-016-0101-2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13007-016-0101-2/MediaObjects/13007_2016_101_Fig1_HTML.gif
,noncatalytic,,TAL,SpdCas9,Direct fusion (C),Plant,"Agnieszka Piatek, et al. RNA-guided transcriptional regulation in planta via synthetic dCas9-based transcription factors. (2014)",https://doi.org/10.1111/pbi.12284,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8bxPfI-F2klSCRO-wIlTgmGgaUMUDc6IXig&s
TV,noncatalytic,activation,6TAL–VP128,SpdCas9,Direct fusion (C),Plant,"Zhenxiang Li, et al. A potent Cas9-derived gene activator for plant and mammalian cells. (2017)",https://doi.org/10.1038/s41477-017-0046-0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-017-0046-0/MediaObjects/41477_2017_46_Fig1_HTML.jpg
,noncatalytic,activation,4EE–VP128,SpdCas9,Direct fusion (C),Plant,"Zhenxiang Li, et al. A potent Cas9-derived gene activator for plant and mammalian cells. (2017)",https://doi.org/10.1038/s41477-017-0046-0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-017-0046-0/MediaObjects/41477_2017_46_Fig1_HTML.jpg
,noncatalytic,activation,MCP-4EE-VP128,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Zhenxiang Li, et al. A potent Cas9-derived gene activator for plant and mammalian cells. (2017)",https://doi.org/10.1038/s41477-017-0046-0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-017-0046-0/MediaObjects/41477_2017_46_Fig1_HTML.jpg
,noncatalytic,activation,MCP-TV,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Zhenxiang Li, et al. A potent Cas9-derived gene activator for plant and mammalian cells. (2017)",https://doi.org/10.1038/s41477-017-0046-0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-017-0046-0/MediaObjects/41477_2017_46_Fig1_HTML.jpg
,catalytic,"Histone acetylation (activation)
H3K27",P300,SpdCas9,Direct fusion (C),Plant,"Joaquin Felipe Roca Paixão, et al. Improved drought stress tolerance in Arabidopsis by CRISPR/dCas9 fusion with a Histone AcetylTransferase. (2019)",https://doi.org/10.1038/s41598-019-44571-y,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41598-019-44571-y/MediaObjects/41598_2019_44571_Fig1_HTML.png
CRISPRAct2.0,noncatalytic,activation,"VP64 +
MCP-VP64",SpdCas9,Direct fusion VP64 (C) + gRNA-aptamer binding (MS2-based),Plant,"Levi G. Lowder, et al. Robust Transcriptional Activation in Plants Using Multiplexed CRISPR-Act2.0 and mTALE-Act Systems. (2018)",https://doi.org/10.1016/j.molp.2017.11.010,https://ars.els-cdn.com/content/image/1-s2.0-S1674205217303441-gr1.jpg
,noncatalytic,activation,"VP64 +
MCP-EDLL",SpdCas9,Direct fusion VP64 (C) + gRNA-aptamer binding (MS2-based),Plant,"Levi G. Lowder, et al. Robust Transcriptional Activation in Plants Using Multiplexed CRISPR-Act2.0 and mTALE-Act Systems. (2018)",https://doi.org/10.1016/j.molp.2017.11.010,https://ars.els-cdn.com/content/image/1-s2.0-S1674205217303441-gr1.jpg
,noncatalytic,activation,"VP64 + 
MCP-VPR",SpdCas9,Direct fusion VP64 (C) + gRNA-aptamer binding (MS2-based),Plant,"Sara Selma, et al. Strong gene activation in plants with genome-wide specificity using a new orthogonal CRISPR/Cas9-based programmable transcriptional activator. (2024)",https://doi.org/10.1111/pbi.13138,https://onlinelibrary.wiley.com/cms/asset/98e32e18-2352-48fa-956c-3f54aa7fa342/pbi13138-fig-0001-m.jpg
,noncatalytic,activation,MCP-VP64,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Joanne E. Lee, et al. CRISPR-based tools for targeted transcriptional and epigenetic regulation in plants. (2019)",https://doi.org/10.1371/journal.pone.0222778,https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0222778.g001
dCasEV2.1,noncatalytic,activation,"EDLL+
MCP-VPR",SpdCas9,Direct fusion EDLL (C) + gRNA-aptamer binding (MS2-based),Plant,"Sara Selma, et al. Strong gene activation in plants with genome-wide specificity using a new orthogonal CRISPR/Cas9-based programmable transcriptional activator. (2019)",https://doi.org/10.1111/pbi.13138,https://onlinelibrary.wiley.com/cms/asset/98e32e18-2352-48fa-956c-3f54aa7fa342/pbi13138-fig-0001-m.jpg
,catalytic,"Histone acetylation (activation)
H3K27",MCP-P300,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Joanne E. Lee, et al. CRISPR-based tools for targeted transcriptional and epigenetic regulation in plants. (2019)",https://doi.org/10.1371/journal.pone.0222778,https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0222778.g001
,catalytic,Histone methylation H3K9,MCP-KYP,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Joanne E. Lee, et al. CRISPR-based tools for targeted transcriptional and epigenetic regulation in plants. (2019)",https://doi.org/10.1371/journal.pone.0222778,https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0222778.g002
,noncatalytic,repression,MCP-SRDX,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Joanne E. Lee, et al. CRISPR-based tools for targeted transcriptional and epigenetic regulation in plants. (2019)",https://doi.org/10.1371/journal.pone.0222778,https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0222778.g003
,catalytic,Histone methylation H3K9,MCP-G9a,SpdCas9,gRNA-aptamer binding (MS2-based),Plant,"Joanne E. Lee, et al. CRISPR-based tools for targeted transcriptional and epigenetic regulation in plants. (2019)",https://doi.org/10.1371/journal.pone.0222778,https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0222778.g004
,catalytic,"DNA
demethylation",ScFV-TET1,SpdCas9,SunTag,Plant,"Javier Gallego-Bartolomé, et al. Targeted DNA demethylation of the Arabidopsis genome using the human TET1 catalytic domain. (2018)",https://doi.org/10.1073/pnas.1716945115,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0knxemToQF7q37dP43YJKmWNhFoo6pd3E-Q&s
,noncatalytic,activation,ScFV-VP64,SpdCas9,SunTag,Plant,"Ashot Papikian, et al. Site-specific manipulation of Arabidopsis loci using CRISPR-Cas9 SunTag systems. (2019)",https://doi.org/10.1038/s41467-019-08736-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-08736-7/MediaObjects/41467_2019_8736_Fig1_HTML.png
,catalytic,"DNA
demethylation",ScFV-NtDRM,SpdCas9,SunTag,Plant,"Ashot Papikian, et al. Site-specific manipulation of Arabidopsis loci using CRISPR-Cas9 SunTag systems. (2019)",https://doi.org/10.1038/s41467-019-08736-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-08736-7/MediaObjects/41467_2019_8736_Fig1_HTML.png
,noncatalytic,repression,SRDX,"
LbdCas12a ",Direct fusion (C),Plant,"Xu Tang, et al. A CRISPR–Cpf1 system for efficient genome editing and transcriptional repression in plants. (2017)",https://doi.org/10.1038/nplants.2017.18,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnplants.2017.18/MediaObjects/41477_2017_Article_BFnplants201718_Fig1_HTML.jpg
,noncatalytic,repression,SRDX,"
AsdCas12a",Direct fusion (C),Plant,"Xu Tang, et al. A CRISPR–Cpf1 system for efficient genome editing and transcriptional repression in plants. (2017)",https://doi.org/10.1038/nplants.2017.18,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnplants.2017.18/MediaObjects/41477_2017_Article_BFnplants201718_Fig1_HTML.jpg
TV,noncatalytic,activation,6TAL–VP128,FndCas12a,Direct fusion (C),Plant,"Meiling Ming, et al. CRISPR–Cas12b enables efficient plant genome engineering. (2020)",https://doi.org/10.1038/s41477-020-0614-6,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-020-0614-6/MediaObjects/41477_2020_614_Fig1_HTML.png
TV,noncatalytic,activation,6TAL–VP128,AadCas12b,Direct fusion (C),Plant,"Meiling Ming, et al. CRISPR–Cas12b enables efficient plant genome engineering. (2020)",https://doi.org/10.1038/s41477-020-0614-6,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-020-0614-6/MediaObjects/41477_2020_614_Fig1_HTML.png
,noncatalytic,activation,"TV + 
MCP-TV",AadCas12b,Direct fusion TV (C) + gRNA-aptamer binding (MS2-based),Plant,"Meiling Ming, et al. CRISPR–Cas12b enables efficient plant genome engineering. (2020)",https://doi.org/10.1038/s41477-020-0614-6,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-020-0614-6/MediaObjects/41477_2020_614_Fig1_HTML.png
,noncatalytic,activation,"TV + 
MCP-VPR",AadCas12b,Direct fusion TV (C) + gRNA-aptamer binding (MS2-based),Plant,"Meiling Ming, et al. CRISPR–Cas12b enables efficient plant genome engineering. (2020)",https://doi.org/10.1038/s41477-020-0614-6,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-020-0614-6/MediaObjects/41477_2020_614_Fig1_HTML.png
CRISPR-Act3.0 gR2.0,noncatalytic,activation,"Vp64+
MCP- 4xGCN4-2TAD",SpdCas9,CRISPR-Act3.0,Plant,"Changtian Pan, et al. CRISPR–Act3.0 for highly efficient multiplexed gene activation in plants. (2021)",https://doi.org/10.1038/s41477-021-00953-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-021-00953-7/MediaObjects/41477_2021_953_Fig1_HTML.png
CRISPR-Act3.0 gR2.0,noncatalytic,activation,"Vp64+
MCP- 10xGCN4-2TAD",SpdCas9,CRISPR-Act3.0,Plant,"Changtian Pan, et al. CRISPR–Act3.0 for highly efficient multiplexed gene activation in plants. (2021)",https://doi.org/10.1038/s41477-021-00953-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-021-00953-7/MediaObjects/41477_2021_953_Fig1_HTML.png
CRISPR-Act3.0 gR2.0,noncatalytic,activation,"Vp64+
MCP- 10xGCN4-2TAD","dzCas9-Act3.0, 
dzCas9-NG-Act3.0 
dSpRy-Act3.0",Direct fusion (C) + scFv-GCN4 binding,Plant,"Changtian Pan, et al. CRISPR–Act3.0 for highly efficient multiplexed gene activation in plants. (2021)",https://doi.org/10.1038/s41477-021-00953-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41477-021-00953-7/MediaObjects/41477_2021_953_Fig1_HTML.png
