Name,Effector type,Action,Effector construct,dCas protein,Architecture,Organism,References,DOI link,Graph. Abstract link
,catalytic,Activation (DNA cytosine demethylation),PUFa-TET1 + PUFc-GADD45A,SpdCas9,"Direct fusion PBSa-PBSc (C), PBSa-PUFa and PBSc-PUFc binding",Human,"Aziz Taghbalout, et al. Enhanced CRISPR-based DNA demethylation by Casilio-ME-mediated RNA-guided coupling of methylcytosine oxidation and DNA repair pathways (2019)",https://doi.org/10.1038/s41467-019-12339-7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-12339-7/MediaObjects/41467_2019_12339_Fig1_HTML.png
,catalytic,Activation (DNA cytosine demethylation),GBP-ROS1,SpdCas9,Direct fusion (C),"Human, Plant"," Parrilla-Doblas JT, Ariza RR, Roldán-Arjona T. Targeted DNA demethylation in human cells by fusion of a plant 5-methylcytosine DNA glycosylase to a sequence-specific DNA binding domain. (2017)
","https://doi.org/10.1080/15592294.2017.1294306;
",https://www.tandfonline.com/cms/asset/e5cca4e9-ea8a-4635-ba37-c8bd00488eea/kepi_a_1294306_f0001_oc.gif
,catalytic,Activation (DNA cytosine demethylation),ROS1,SpdCas9,Direct fusion (C),"Human, Plant"," Devesa-Guerra I, Morales-Ruiz T et al. DNA Methylation Editing by CRISPR-guided Excision of 5-Methylcytosine. (2020)",https://doi.org/10.1016/j.jmb.2020.02.007,https://ars.els-cdn.com/content/image/1-s2.0-S0022283620301571-fx1.jpg
,catalytic,DNA cytosine demethylation,TDG,ZFP,,,"David J Gregory, et al. Specific transcriptional enhancement of inducible nitric oxide synthase by targeted promoter demethylation. (2013)",https://doi.org/10.4161/epi.26267,https://www.tandfonline.com/cms/asset/4584050d-3302-4d9c-ae40-2bfc5228a7ea/kepi_a_10926267_f0001.gif
,catalytic,Repression (DNA cytosine methylation) ,DNMT1,SpdCas9,Direct fusion (C),"Human, Animal","Lin Lin, et al. Genome-wide determination of on-target and off-target characteristics for RNA-guided DNA methylation by dCas9 methyltransferases. (2018)",https://doi.org/10.1093/gigascience/giy011,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/gigascience/7/3/10.1093_gigascience_giy011/4/m_gigascience_7_3_giy011_f17.jpeg?Expires=1747898993&Signature=ihF18G6ni-p6DytC9o2zQ-hgBHh1M5yWtTz~eRAKzcPlH7Uj5CHg8Avm1WpdETXZqCV08RTrnB-anKvwLF95orBvI~WzTaPzFiDQX6dB8g0~JWo28ZlnG~-yEpQgfVAINTOq1oxjNzGOGQy9fNIca60deIzY~4xorfn3CWLdqZlFVhxSdOa1qS05NjCkmKBM-zS-jXh7YBZBfcmlKB-bYyG65HPBPL7FTZP9qlyq4JSsqDGMO51xq-jTY4CaV0Q5a3gP~ah4a1qYAGKSG5izgPgMcaqNp723Y~UMU6HSK2~J2Br-ZiAeGnZA8hA~kshMd90a-B5JtqlsOwG5CVHQsw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
CRISPR/dCas9-R2-loop,inhibits catalytic activity,Repression (DNA cytosine methylation) ,R2-RNA-loop,SpdCas9,R2-loop,Human,"Anrui Lu, et al. Reprogrammable CRISPR/dCas9-based recruitment of DNMT1 for site-specific DNA demethylation and gene regulation. (2019)",https://doi.org/10.1038/s41421-019-0090-1,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41421-019-0090-1/MediaObjects/41421_2019_90_Fig1_HTML.png
,catalytic,Repression (DNA cytosine methylation) ,DNMT3A,SpdCas9,SunTag,"Human, Animal","Kojima S, Shiochi N, et al. Epigenome editing reveals core DNA methylation for imprinting control in the Dlk1-Dio3 imprinted domain. (2022)",https://doi.org/10.1093/nar/gkac344,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/50/9/10.1093_nar_gkac344/1/m_gkac344fig1.jpeg?Expires=1747873289&Signature=IxrFSV4mTEqBlnW7m912DXbM3M7PCngb9vZJ34Gaunu9iK7kOZ8sbyt6uX6rIhO1SdiUim-KWQ2YRjmcHJPqE8yZtkEJmpIqN0~qr~H7X-M~Lb5W089jkMsjQ7KEuUlKvfh~D2uS46aW7k~P2bHzjyr~PP5BDqMWDKpDoiQsQLA0H7vjqGWYs2wmtZUgrkzVE4yjY~3PmDcuVUAt~vDzlb-O9xbqyFn9YTaV3Xma50t584vJGlpKG-ZClcztUWmpwf2LXfjJxoWX7uTBoaaxZRidAaCJklguUxMKUiVJ2XE8~uY4CuI0K7lR91BpPMjnB5wp-LoJ8LoxTZqCVTGROg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,Repression (DNA cytosine methylation) ,DNMT3A,SpdCas9,Direct fusion (C)/ Direct fusion (N)/ Direct fusion (N+C),Human,"1. Lin Lin, et al. Genome-wide determination of on-target and off-target characteristics for RNA-guided DNA methylation by dCas9 methyltransferases. (2018);
2. Peter Stepper, et al. Efficient targeted DNA methylation with chimeric dCas9–Dnmt3a–Dnmt3L methyltransferase. (2016)","https://doi.org/10.1093/gigascience/giy011;
https://doi.org/10.1093/nar/gkw1112","https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/gigascience/7/3/10.1093_gigascience_giy011/4/m_gigascience_7_3_giy011_f17.jpeg?Expires=1747898993&Signature=ihF18G6ni-p6DytC9o2zQ-hgBHh1M5yWtTz~eRAKzcPlH7Uj5CHg8Avm1WpdETXZqCV08RTrnB-anKvwLF95orBvI~WzTaPzFiDQX6dB8g0~JWo28ZlnG~-yEpQgfVAINTOq1oxjNzGOGQy9fNIca60deIzY~4xorfn3CWLdqZlFVhxSdOa1qS05NjCkmKBM-zS-jXh7YBZBfcmlKB-bYyG65HPBPL7FTZP9qlyq4JSsqDGMO51xq-jTY4CaV0Q5a3gP~ah4a1qYAGKSG5izgPgMcaqNp723Y~UMU6HSK2~J2Br-ZiAeGnZA8hA~kshMd90a-B5JtqlsOwG5CVHQsw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA ; 
https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/4/10.1093_nar_gkw1112/5/m_gkw1112fig1.jpeg?Expires=1747879759&Signature=pm9Vs20EEE8hXwiNDOObryflV6hYL32li-n410VVO1I-JocuYCRgFh3SOXR61CcNUhTxNMiTmQ7rK52EP~mPugqH~0C0RD2eNGQQDXCHb-FqJ3KdDX9IuPazCobmDH-DTdM92ujJatIVUMWNV0n3AMRCkGpr7vqBaZJwuygdbbLOxwq8SWKuHbV8f4zI8rYOl093EtQPXEZbUkW6A58JvUVM9vd~cmdVxcXnuyyrgU6OvWAKuJxI2U8Dn1HdnV74bZSctNxxiofbKEUtbZYN09fW2FFHgbWbEfhc0Rz6r8ZtgPo~JljdOKhbFkTOtJuKSdWe4JEqIXJ9T0aRdHQq7w__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
"
,catalytic,Repression (DNA cytosine methylation) ,DNMT3A,AsdCas12a,Direct fusion (C)/ Direct fusion (N)/ Direct fusion (N+C),Human,"Henriette O’Geen, et al. dCas9-based epigenome editing suggests acquisition of histone methylation is not sufficient for target gene repression. (2017)",https://doi.org/10.1093/nar/gkx578,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/45/17/10.1093_nar_gkx578/3/m_gkx578fig1.jpeg?Expires=1747933629&Signature=H8jq-ldXscAXMXCfbdnB5YYuNf4hImHxpBInzMfUk1wfqx4kHxzQcoCvRyHjxjJ4HA3bMGkeV056ki1QbV5q-MVt32NaAwGL08TZ3Fp8JfyqqbkBMJf5rRrWPNkijCvhhyU6UHvTwykPm4OTZWlJbn1bGom0jLIz5nOqSev3WIQkcWoo-ntEWD2RDcEOYS~3AucVzxoBiRe3GvG8CCaILPoaHw~NGELKNDPd2InGsdFZHMCAxMDjKtjzrrPCSBBnDxSXOT-AWVqKZtnTWc8nTRJwwqyiq8dMIJ9PzVtLsClfuj800byw03thrQxoSBijDUnkfIbyh7Mp2tUuiAiXyg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
,catalytic,Repression (DNA cytosine methylation) ,DNMT3B,SpdCas9,Direct fusion (C),Human,"Lin Lin, et al. Genome-wide determination of on-target and off-target characteristics for RNA-guided DNA methylation by dCas9 methyltransferases. (2018)",https://doi.org/10.1093/gigascience/giy011,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/gigascience/7/3/10.1093_gigascience_giy011/4/m_gigascience_7_3_giy011_f17.jpeg?Expires=1747898993&Signature=ihF18G6ni-p6DytC9o2zQ-hgBHh1M5yWtTz~eRAKzcPlH7Uj5CHg8Avm1WpdETXZqCV08RTrnB-anKvwLF95orBvI~WzTaPzFiDQX6dB8g0~JWo28ZlnG~-yEpQgfVAINTOq1oxjNzGOGQy9fNIca60deIzY~4xorfn3CWLdqZlFVhxSdOa1qS05NjCkmKBM-zS-jXh7YBZBfcmlKB-bYyG65HPBPL7FTZP9qlyq4JSsqDGMO51xq-jTY4CaV0Q5a3gP~ah4a1qYAGKSG5izgPgMcaqNp723Y~UMU6HSK2~J2Br-ZiAeGnZA8hA~kshMd90a-B5JtqlsOwG5CVHQsw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
